dataset,trees,family,mode,worker,buffer,threads,bt,transposed,bitmask,cached,mapped,devreduce,crossreduce,features,real_time_ns,cpu_time_ns,iterations,items_per_second,name
higgs_d6_n500,500,cpu,,branch,compact,nothread,,,,,,,,28,3888.5051957198566,3887.9893446122037,178032,257168.2303782741,branch/compact/nothread/features:28/real_time
higgs_d6_n500,500,cpu,,bitmask,compact,nothread,,,,,,,,28,113963.22001682111,113948.72126772313,5995,8774.760838210774,bitmask/compact/nothread/features:28/real_time
higgs_d6_n500,500,cpu,,branch,compact,1,,,,,,,,28,4115.772143998173,4115.273500732345,171367,242967.77494309313,branch/compact/threads:1/features:28/real_time
higgs_d6_n500,500,cpu,,bitmask,compact,1,,,,,,,,28,112560.52785537351,112554.03122432219,6085,8884.109012751589,bitmask/compact/threads:1/features:28/real_time
higgs_d6_n500,500,cpu,,branch,compact,2,,,,,,,,28,2270.4453906071067,2270.4214607460126,287716,440442.2163761466,branch/compact/threads:2/features:28/real_time
higgs_d6_n500,500,cpu,,bitmask,compact,2,,,,,,,,28,58115.42058122953,58112.56487695746,11622,17207.136935407227,bitmask/compact/threads:2/features:28/real_time
higgs_d6_n500,500,cpu,,branch,compact,4,,,,,,,,28,1379.0127437573656,1379.0120130783084,487219,725156.4603205349,branch/compact/threads:4/features:28/real_time
higgs_d6_n500,500,cpu,,bitmask,compact,4,,,,,,,,28,30329.7661455192,30329.657173418927,22437,32970.91033284264,bitmask/compact/threads:4/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,0,0,0,0,0,,28,12154.959116636674,12153.75108596458,54790,82270.94722443658,cuda/oneshot/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,1,0,0,0,0,,28,11935.529149293763,11934.437866910985,58938,83783.46594370899,cuda/oneshot/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,0,1,0,0,0,,28,16498.74058754632,16496.594858575347,42284,60610.68690023686,cuda/oneshot/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,1,1,0,0,0,,28,14774.600063768647,14774.01359037173,46945,67683.72718610996,cuda/oneshot/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,0,0,0,1,0,,28,8660.122132398981,8659.375976611094,80380,115471.8126039852,cuda/oneshot/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:1/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,1,0,0,1,0,,28,8509.591372101895,8508.806563917033,80714,117514.45589719276,cuda/oneshot/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,0,1,0,1,0,,28,13345.977101781882,13343.647875197308,48781,74928.94618157897,cuda/oneshot/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,1,1,0,1,0,,28,11135.107206335291,11134.300220354184,61265,89806.05049146294,cuda/oneshot/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,0,0,0,0,1,,28,13772.258118596497,13771.042557792101,50872,72609.73410378602,cuda/oneshot/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,1,0,0,0,1,,28,13457.100953398427,13455.552761257391,52965,74310.21016064103,cuda/oneshot/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,0,1,0,0,1,,28,18063.7357377375,18062.195813311468,39124,55359.53440189393,cuda/oneshot/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,1,1,0,0,1,,28,16251.380163997785,16248.92133590947,43476,61533.23532578069,cuda/oneshot/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,0,0,0,1,1,,28,11402.348734558896,11400.676675745694,60212,87701.22921860321,cuda/oneshot/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:1/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,1,0,0,1,1,,28,11269.459180558395,11268.235411129814,61331,88735.40282440161,cuda/oneshot/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,0,1,0,1,1,,28,15849.540374885291,15847.710128213863,44223,63093.31225683807,cuda/oneshot/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,compact,,256,1,1,0,1,1,,28,14082.142589277484,14081.12672552661,49043,71011.92120873896,cuda/oneshot/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,0,0,0,0,0,28,13533.101715859073,13532.382906597955,52804,73892.89026240948,cuda/persistent/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,0,0,0,0,0,28,13041.52157196484,13040.596549316873,50135,76678.16937478252,cuda/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,1,0,0,0,0,28,19017.74953935918,19016.38057988264,35283,52582.457137233694,cuda/persistent/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,1,0,0,0,0,28,17709.481557830266,17707.31598818919,41318,56466.92686821478,cuda/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,0,0,1,0,0,28,7652.776695702484,7651.12699062649,90361,130671.52482857142,cuda/persistent/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:1/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,0,0,1,0,0,28,7672.389868518651,7671.69528378825,94419,130337.48507791552,cuda/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,1,0,1,0,0,28,11655.270545322017,11654.33633698657,60038,85798.0941850691,cuda/persistent/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,1,0,1,0,0,28,9763.293539584574,9762.666299712972,71762,102424.45297230607,cuda/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,0,0,0,1,0,28,14471.426685897211,14470.355846566306,48490,69101.6871871055,cuda/persistent/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,0,0,0,1,0,28,13948.244732929124,13945.533222162188,42577,71693.60870469904,cuda/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,1,0,0,1,0,28,21688.453994168132,21686.573206190405,31985,46107.481901148545,cuda/persistent/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,1,0,0,1,0,28,17032.607394005794,17031.451778179602,39816,58710.91705853124,cuda/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,0,0,1,1,0,28,7578.158049552154,7577.99053491728,92762,131958.187393452,cuda/persistent/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:1/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,0,0,1,1,0,28,7947.846871248436,7946.802484804744,85882,125820.23989635843,cuda/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,1,0,1,1,0,28,11632.746348371085,11631.69836453406,58332,85964.22289737525,cuda/persistent/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,1,0,1,1,0,28,9748.691324614812,9748.078256904817,72377,102577.87088560953,cuda/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,0,0,0,0,1,28,15844.390489864636,15842.80566068398,43069,63113.81940754878,cuda/persistent/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,0,0,0,0,1,28,15686.36358808102,15685.798350506766,47166,63749.63798237028,cuda/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,1,0,0,0,1,28,23347.962586134225,23346.10812471197,32555,42830.289637087015,cuda/persistent/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,1,0,0,0,1,28,19685.608373126543,19684.513121663404,35590,50798.53165041789,cuda/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,0,0,1,0,1,28,9453.268197955504,9452.511144779706,73263,105783.52153557581,cuda/persistent/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:1/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,0,0,1,0,1,28,9184.363147378655,9183.938382608867,76407,108880.71213575803,cuda/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,1,0,1,0,1,28,13401.897296534145,13400.378747584555,52267,74616.30080232068,cuda/persistent/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,1,0,1,0,1,28,11556.090471773074,11555.177350006581,60936,86534.45578698104,cuda/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,0,0,0,1,1,28,16202.477743324633,16201.199661864966,43178,61718.95532533576,cuda/persistent/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,0,0,0,1,1,28,15961.028607175676,15959.821421261968,43975,62652.60370189582,cuda/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,1,0,0,1,1,28,23638.60430558238,23636.963590874766,30377,42303.68202253991,cuda/persistent/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,1,0,0,1,1,28,19939.06627321501,19936.941684240235,35565,50152.79985017866,cuda/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,0,0,1,1,1,28,9481.343341387801,9480.572802590239,73507,105470.28664543942,cuda/persistent/compact/bt:256/transposed:0/bitmask:0/cached:0/mapped:1/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,0,0,1,1,1,28,9201.49167560825,9200.53325147538,75741,108678.0312643055,cuda/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,0,1,0,1,1,1,28,13434.319720812908,13434.227994796738,50738,74436.22161610206,cuda/persistent/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,compact,,256,1,1,0,1,1,1,28,11548.058968493482,11547.894627211193,60490,86594.63921411343,cuda/persistent/compact/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/devreduce:1/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cpu,,branch,tree,nothread,,,,,,,,28,5307.484353270212,5306.876622475733,129740,188413.1790956386,branch/tree/nothread/features:28/real_time
higgs_d6_n500,500,cpu,,bitmask,tree,nothread,,,,,,,,28,110680.5759402086,110667.96191080671,6301,9035.009002304216,bitmask/tree/nothread/features:28/real_time
higgs_d6_n500,500,cpu,,branch,tree,1,,,,,,,,28,5619.395174561742,5618.690023581491,124674,177955.0946206573,branch/tree/threads:1/features:28/real_time
higgs_d6_n500,500,cpu,,bitmask,tree,1,,,,,,,,28,119064.47991602708,118675.96400151498,5278,8398.810465600427,bitmask/tree/threads:1/features:28/real_time
higgs_d6_n500,500,cpu,,branch,tree,2,,,,,,,,28,3085.7586001343216,3085.7446572436875,224416,324069.42006301804,branch/tree/threads:2/features:28/real_time
higgs_d6_n500,500,cpu,,bitmask,tree,2,,,,,,,,28,60553.01205464141,60552.83244387161,10868,16514.455120706905,bitmask/tree/threads:2/features:28/real_time
higgs_d6_n500,500,cpu,,branch,tree,4,,,,,,,,28,4543.824105825774,4543.816707886775,414846,220078.94159412332,branch/tree/threads:4/features:28/real_time
higgs_d6_n500,500,cpu,,bitmask,tree,4,,,,,,,,28,30781.02031924678,30781.146259406563,22590,32487.552057353965,bitmask/tree/threads:4/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,0,0,0,0,,28,12028.972838511989,12028.421530087691,56219,83132.61767442,cuda/oneshot/tree/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,0,0,0,0,,28,11770.899440133238,11769.704422019538,59656,84955.27509057378,cuda/oneshot/tree/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,1,0,0,0,,28,16494.82775256096,16492.299857666338,42857,60625.064717316716,cuda/oneshot/tree/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,1,0,0,0,,28,14947.577400725906,14945.288847724509,47506,66900.47311288293,cuda/oneshot/tree/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,0,0,1,0,,28,8688.67736720506,8688.001879487305,79809,115092.31586552465,cuda/oneshot/tree/bt:256/transposed:0/bitmask:0/cached:0/mapped:1/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,0,0,1,0,,28,8496.287192807937,8495.738209253024,80190,117698.46961464472,cuda/oneshot/tree/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,1,0,1,0,,28,13168.55715790382,13166.88774420741,53387,75938.46372150164,cuda/oneshot/tree/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,1,0,1,0,,28,11164.907349844527,11163.841175716321,62396,89566.35005250851,cuda/oneshot/tree/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/devreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,0,0,0,1,,28,13561.74471737848,13559.81805889112,49549,73736.82522710858,cuda/oneshot/tree/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,0,0,0,1,,28,13370.124156779377,13369.569196173105,52474,74793.62108189144,cuda/oneshot/tree/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,0,1,0,0,1,,28,18303.22945048778,18301.768715453825,39259,54635.167127479246,cuda/oneshot/tree/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,oneshot,cuda,tree,,256,1,1,0,0,1,,28,16445.221881614398,16443.612142769507,40765,60807.936019275636,cuda/oneshot/tree/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:1/features:28/real_time
